IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
79.132.138.87,2a02:6b40:2000:149a::1,443,3.99,DE,MUC,147.45,190.42
188.220.132.36,188.220.132.36,443,3.99,DE,DUS,147.16,160.56
92.5.0.222,92.5.0.222,8443,3.96,DE,MUC,139.25,153.44
158.180.17.177,2603:c020:8010:7600:0:34:bc1f:b47f,443,3.94,DE,FRA,139.12,153.22
92.5.0.222,92.5.0.222,443,3.94,DE,MUC,136.58,152.84
5.102.37.64,5.102.37.64,443,3.94,DE,FRA,144.09,158.77
194.247.187.244,194.247.187.244,443,3.92,DE,FRA,149.77,158.42
91.107.130.114,2a01:4f8:c010:6690::1,8443,3.91,DE,PRG,148.01,162.9
64.188.79.189,64.188.79.189,443,3.9,DE,MUC,155.08,165.7
92.5.0.222,92.5.0.222,2083,3.9,DE,MUC,137.4,152.66
45.95.0.43,2a0f:cdc6:500:1819::2,443,3.88,DE,FRA,171.39,157.31
87.251.87.36,87.251.87.36,443,3.87,DE,MUC,148.11,166.47
185.110.188.222,185.110.188.222,443,3.85,DE,FRA,150.07,172.69
64.188.105.125,64.188.105.125,443,3.85,DE,FRA,147.07,146.1
177.3.213.76,177.3.213.76,443,3.84,DE,FRA,141.39,157.17
92.5.85.78,92.5.85.78,443,3.84,DE,FRA,147.95,147.6
150.241.123.99,150.241.123.99,443,3.83,DE,MUC,154.16,164.04
94.159.106.20,94.159.106.20,443,3.81,DE,DUS,138.9,154.41
94.159.106.11,94.159.106.11,443,3.81,DE,FRA,138.96,143.69
150.241.105.29,2a01:ecc0:40:1d::2,443,3.81,DE,FRA,173.99,162.41
49.13.64.206,49.13.64.206,443,3.8,DE,FRA,165.23,179.16
144.31.78.217,144.31.78.217,443,3.79,DE,FRA,148.1,161.06
18.197.218.69,18.197.218.69,443,3.79,DE,FRA,138.02,142.01
144.31.251.97,144.31.251.97,443,3.78,DE,MUC,148.57,184.66
38.180.165.83,38.180.165.83,443,3.77,DE,FRA,138.79,146.74
89.125.54.80,89.125.54.80,443,3.76,DE,FRA,159.26,172.79
130.61.208.80,2603:c020:801c:2cd1:0:9dee:33a2:f687,443,3.76,DE,FRA,139.67,142.12
213.21.241.211,2a01:ecc0:40:2a9::2,443,3.76,DE,FRA,147.29,153.33
46.249.100.111,46.249.100.111,443,3.75,DE,FRA,149.11,170.53
87.120.92.172,87.120.92.172,443,3.73,DE,FRA,150.68,164.12
178.105.227.210,178.105.227.210,443,3.73,DE,CDG,171.91,194.0
177.177.0.210,194.156.154.164,443,3.73,DE,TXL,145.55,146.07
95.85.230.15,95.85.230.15,443,3.72,DE,FRA,152.36,158.23
108.165.174.53,108.165.174.53,443,3.72,DE,OTP,142.75,220.52
31.77.168.50,31.77.168.50,443,3.71,DE,FRA,135.48,150.07
93.152.224.43,93.152.224.43,2053,3.69,DE,FRA,144.47,148.56
85.234.100.68,85.234.100.68,443,3.68,DE,FRA,169.48,172.47
94.143.231.154,94.143.231.154,443,3.68,DE,FRA,139.14,156.19
5.175.211.86,5.175.211.86,8443,3.68,DE,OTP,138.08,202.74
138.197.183.219,138.197.183.219,443,3.68,DE,FRA,145.57,153.97
185.137.137.99,185.137.137.98,443,3.67,DE,FRA,143.64,150.02
