IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
147.90.26.37,23.168.88.31,443,2.89,FR,CDG,141.89,156.84
147.90.26.73,23.168.88.222,443,2.89,FR,CDG,142.01,149.92
147.90.26.59,23.168.88.86,443,2.89,FR,CDG,145.03,170.94
151.242.159.84,151.242.159.84,443,2.88,FR,CDG,146.54,149.29
179.255.188.88,179.255.188.88,443,2.88,FR,CDG,145.98,159.16
147.90.26.52,23.168.88.217,443,2.87,FR,CDG,149.13,149.09
147.90.26.60,23.168.88.20,443,2.86,FR,CDG,141.56,148.27
147.90.26.11,23.168.88.24,443,2.85,FR,CDG,142.18,148.79
92.119.126.219,92.119.126.219,443,2.84,FR,FRA,144.87,174.85
179.255.188.95,179.255.188.95,443,2.83,FR,CDG,142.8,158.17
37.122.148.17,37.122.148.17,443,2.82,FR,AMS,140.22,156.09
147.90.26.69,23.168.88.173,443,2.81,FR,CDG,144.18,149.82
147.90.26.13,23.168.88.8,443,2.8,FR,CDG,148.2,151.07
147.90.26.43,23.168.88.59,443,2.8,FR,CDG,146.56,156.84
147.90.26.18,23.168.88.51,443,2.78,FR,CDG,143.39,163.63
147.90.26.51,23.168.88.97,443,2.78,FR,CDG,146.45,153.12
147.90.26.36,23.168.88.83,443,2.77,FR,CDG,142.99,155.17
147.90.26.25,23.168.88.250,443,2.77,FR,CDG,141.94,149.17
147.90.26.16,23.168.88.186,443,2.77,FR,CDG,141.74,150.61
217.60.252.25,217.60.252.25,443,2.75,FR,CDG,125.53,141.85
147.90.26.80,23.168.88.185,443,2.75,FR,CDG,144.06,151.27
147.90.26.35,23.168.88.163,443,2.75,FR,CDG,141.05,159.74
147.90.26.79,23.168.88.169,443,2.75,FR,CDG,153.73,174.53
84.247.177.135,84.247.177.135,443,2.75,FR,FRA,143.65,157.53
153.56.171.216,153.56.171.216,8443,2.74,FR,BRU,138.28,150.7
147.90.26.65,23.168.88.231,443,2.73,FR,CDG,142.93,148.45
37.60.232.144,37.60.232.144,443,2.72,FR,CDG,145.77,172.83
179.255.188.78,179.255.188.78,443,2.7,FR,CDG,175.11,157.55
147.90.26.49,23.168.88.241,443,2.7,FR,CDG,143.56,149.18
109.120.179.99,109.120.179.99,443,2.69,FR,FRA,160.28,188.53
147.90.26.54,23.168.88.252,443,2.66,FR,CDG,138.4,149.02
147.90.26.82,23.168.88.75,443,2.64,FR,CDG,138.95,168.55
147.90.26.87,23.168.88.25,443,2.64,FR,CDG,141.33,151.91
45.95.172.206,45.95.172.206,443,2.63,FR,CDG,138.01,176.08
147.90.26.78,23.168.88.159,443,2.63,FR,CDG,148.09,158.59
51.91.78.12,2001:41d0:404:200::5a8,443,2.63,FR,ZRH,151.34,166.6
138.124.92.131,138.124.92.131,443,2.62,FR,FRA,152.56,244.0
147.90.26.71,23.168.88.130,443,2.6,FR,CDG,143.11,157.51
147.90.26.32,23.168.88.15,443,2.59,FR,CDG,145.74,149.79
94.183.187.80,94.183.187.80,443,2.57,FR,CDG,126.5,138.72
179.255.188.90,179.255.188.90,443,2.56,FR,CDG,148.32,156.5
84.247.166.22,84.247.166.22,443,2.55,FR,FRA,142.57,153.39
179.255.188.93,179.255.188.93,443,2.55,FR,CDG,142.53,161.26
147.90.26.88,23.168.88.22,443,2.55,FR,CDG,144.83,150.12
153.56.171.216,153.56.171.216,443,2.54,FR,BRU,136.93,158.32
188.92.28.24,188.92.28.24,443,2.54,FR,CDG,129.01,140.33
153.80.179.83,153.80.179.83,443,2.53,FR,BRU,137.16,157.27
185.234.100.241,185.234.100.241,443,2.52,FR,CDG,126.11,132.45
38.180.240.91,38.180.240.91,443,2.52,FR,CDG,128.45,136.3
179.255.188.80,179.255.188.80,443,2.52,FR,CDG,143.3,153.74
147.90.26.23,23.168.88.119,443,2.51,FR,CDG,141.1,149.76
147.90.26.15,23.168.88.141,443,2.5,FR,CDG,145.15,144.56
147.90.26.9,23.168.88.104,443,2.5,FR,CDG,138.83,146.11
167.86.97.39,167.86.97.39,443,2.45,FR,MUC,148.54,162.35
147.90.26.55,23.168.88.6,443,2.43,FR,CDG,141.89,154.77
147.90.26.50,23.168.88.149,443,2.4,FR,CDG,141.29,153.17
147.90.26.8,23.168.88.21,443,2.39,FR,CDG,142.41,145.42
147.90.26.67,23.168.88.90,443,2.38,FR,CDG,143.11,162.19
179.255.188.76,179.255.188.76,443,2.37,FR,CDG,143.27,155.73
194.113.235.229,194.113.235.229,443,2.36,FR,CDG,143.81,149.22
147.90.26.27,23.168.88.204,443,2.35,FR,CDG,152.75,159.34
151.247.197.206,151.247.197.206,443,2.31,FR,BRU,144.56,181.52
141.11.32.153,141.11.32.153,2053,2.28,FR,FRA,157.23,198.88
147.90.26.93,23.168.88.140,443,2.28,FR,CDG,139.01,146.44
82.22.50.218,82.22.50.218,443,2.26,FR,BRU,138.86,186.42
109.61.110.151,109.61.110.151,443,2.25,FR,BRU,149.24,162.29
172.99.189.217,172.99.189.217,443,2.24,FR,CDG,140.57,148.79
147.90.26.61,23.168.88.111,443,2.21,FR,CDG,149.21,157.47
147.90.26.53,23.168.88.2,443,2.21,FR,CDG,143.82,151.18
147.90.26.4,23.168.88.172,443,2.21,FR,CDG,142.88,151.24
147.90.26.58,23.168.88.230,443,2.2,FR,CDG,147.59,143.02
147.90.26.38,23.168.88.148,443,2.13,FR,CDG,139.25,147.59
147.90.26.17,23.168.88.174,443,2.08,FR,CDG,140.69,149.87
193.42.60.235,193.42.60.235,443,2.05,FR,MUC,156.52,185.31
147.90.26.12,23.168.88.129,443,2.03,FR,CDG,145.2,151.18
129.151.245.96,129.151.245.96,443,1.96,FR,MRS,140.15,144.82
147.90.26.45,23.168.88.4,443,1.93,FR,CDG,141.66,159.22
147.90.26.20,23.168.88.178,443,1.86,FR,CDG,152.8,151.92
141.11.32.153,141.11.32.153,443,1.79,FR,FRA,156.58,191.38
147.90.26.92,23.168.88.143,443,1.63,FR,CDG,140.16,162.68
147.90.26.47,23.168.88.122,443,1.5,FR,CDG,145.73,144.74
194.76.146.25,194.76.146.25,443,1.5,FR,CDG,126.5,134.63
38.54.122.54,2404:a140:3d:7::1761,443,1.46,FR,MRS,141.8,156.2
147.90.26.40,23.168.88.41,443,1.4,FR,CDG,142.29,171.8
82.70.232.70,82.70.232.70,443,1.24,FR,MRS,168.44,160.63
88.80.186.197,88.80.186.197,443,11.96,GB,LHR,136.12,135.01
35.176.187.206,35.176.187.206,443,5.99,GB,LHR,128.14,155.0
35.176.75.87,35.176.75.87,443,5.76,GB,LHR,127.13,147.6
35.176.75.87,35.176.75.87,2087,5.58,GB,LHR,138.86,134.3
45.32.180.58,45.32.180.58,2053,5.57,GB,LHR,125.28,137.52
91.149.202.142,91.149.202.142,443,5.46,GB,LHR,143.16,161.25
52.56.194.132,52.56.194.132,443,5.27,GB,LHR,128.85,139.81
138.249.138.5,138.249.138.5,443,5.21,GB,LHR,131.84,155.26
51.241.130.204,51.241.130.204,443,5.12,GB,LHR,127.31,143.09
78.129.155.37,78.129.155.246,443,5.1,GB,LHR,125.95,136.93
94.72.108.133,94.72.108.133,2053,4.96,GB,LHR,131.3,165.8
104.128.190.209,104.128.190.209,443,4.78,GB,LHR,135.92,168.61
94.72.108.133,94.72.108.133,443,4.77,GB,LHR,130.7,148.18
78.129.165.129,84.22.164.30,443,4.76,GB,LHR,126.65,135.2
57.128.183.248,57.128.183.248,8443,4.43,GB,LHR,158.88,151.56
195.72.166.188,195.72.166.188,443,4.37,GB,LHR,134.92,170.89
194.147.88.33,194.147.88.33,443,4.32,GB,LHR,144.94,146.9
57.128.176.90,57.128.176.90,443,4.23,GB,LHR,143.71,185.2
57.128.181.219,57.128.181.219,8443,4.22,GB,LHR,135.78,139.09
84.8.145.58,84.8.145.58,443,4.0,GB,LHR,130.27,138.63
57.128.183.82,57.128.183.82,8443,3.85,GB,LHR,133.76,140.66
130.185.144.78,130.185.144.78,443,3.83,GB,LHR,130.36,139.68
45.32.180.58,45.32.180.58,443,3.78,GB,LHR,139.94,145.61
209.38.165.5,209.38.165.5,443,3.78,GB,LHR,128.63,141.12
91.149.238.31,91.149.238.31,443,3.72,GB,LHR,135.08,152.43
57.128.176.82,57.128.176.82,8443,3.71,GB,LHR,133.89,140.25
57.128.178.42,57.128.178.42,443,3.7,GB,LHR,134.88,140.56
57.128.178.196,57.128.178.196,8443,3.69,GB,LHR,143.13,161.25
185.66.164.51,185.66.164.4,443,3.65,GB,LHR,128.37,139.14
57.128.181.14,57.128.181.14,8443,3.64,GB,LHR,133.57,141.31
213.1.145.50,213.1.145.4,443,3.63,GB,LHR,130.57,151.85
87.84.155.97,87.84.155.97,443,3.61,GB,LHR,148.06,142.93
57.128.182.21,57.128.182.21,443,3.57,GB,LHR,148.72,182.91
194.147.88.43,194.147.88.43,443,3.56,GB,LHR,131.83,146.56
57.128.180.98,57.128.180.98,443,3.56,GB,LHR,137.07,164.34
57.128.178.232,57.128.178.232,8443,3.53,GB,LHR,133.99,138.97
159.65.19.63,159.65.19.63,443,3.42,GB,LHR,155.64,204.43
57.128.181.219,57.128.181.219,443,3.42,GB,LHR,146.19,153.4
78.129.253.158,78.129.253.115,443,3.39,GB,LHR,137.31,136.43
54.38.214.128,54.38.214.128,443,3.36,GB,LHR,133.83,143.03
57.128.183.82,57.128.183.82,443,3.33,GB,LHR,135.75,140.15
62.60.155.234,62.60.155.234,443,3.33,GB,FRA,159.77,178.9
87.106.52.3,87.106.52.3,443,3.31,GB,LHR,141.19,155.27
57.128.176.87,57.128.176.87,443,3.29,GB,LHR,133.78,141.11
57.128.178.122,57.128.178.122,443,3.28,GB,LHR,143.82,151.42
57.128.183.248,57.128.183.248,443,3.28,GB,LHR,145.4,183.38
212.74.39.205,212.74.39.205,443,3.26,GB,LHR,144.6,151.39
132.145.46.142,132.145.46.142,443,3.24,GB,LHR,142.75,160.08
194.147.88.47,194.147.88.47,443,3.19,GB,LHR,134.93,148.54
57.128.182.61,57.128.182.61,8443,3.17,GB,LHR,138.14,150.35
57.128.181.221,57.128.181.221,443,3.17,GB,LHR,134.84,139.65
79.72.91.32,79.72.91.32,443,3.14,GB,LHR,134.9,141.58
109.169.76.23,109.169.76.23,443,3.13,GB,LHR,132.29,131.94
57.128.183.3,57.128.183.3,8443,3.08,GB,LHR,136.64,140.96
57.128.178.232,57.128.178.232,443,3.04,GB,LHR,133.57,140.46
165.227.237.209,165.227.237.209,443,2.95,GB,LHR,127.04,135.3
57.128.176.90,57.128.176.90,8443,2.93,GB,LHR,146.12,210.34
57.128.178.42,57.128.178.42,8443,2.92,GB,LHR,135.14,140.5
57.128.176.82,57.128.176.82,443,2.92,GB,LHR,133.2,139.63
217.154.53.220,217.154.53.220,443,2.92,GB,LHR,139.82,157.99
57.128.183.108,57.128.183.108,8443,2.91,GB,LHR,145.57,152.0
57.128.183.138,57.128.183.138,8443,2.9,GB,LHR,134.6,141.28
45.147.44.148,45.147.44.148,443,2.84,GB,LHR,125.67,150.43
193.163.201.161,193.163.201.161,443,2.75,GB,LHR,154.21,202.52
57.128.178.196,57.128.178.196,443,2.73,GB,LHR,164.5,199.39
57.128.179.45,57.128.179.45,8443,2.7,GB,LHR,133.97,140.51
57.128.183.138,57.128.183.138,443,2.68,GB,LHR,135.78,141.37
57.128.179.189,57.128.179.189,8443,2.67,GB,LHR,132.51,141.68
194.147.88.45,194.147.88.45,443,2.67,GB,LHR,135.1,147.93
57.128.176.87,57.128.176.87,8443,2.67,GB,LHR,143.05,138.19
57.128.182.61,57.128.182.61,443,2.66,GB,LHR,135.83,173.62
217.154.53.220,217.154.53.220,8443,2.65,GB,LHR,147.94,184.9
57.128.176.37,57.128.176.37,443,2.64,GB,LHR,143.91,175.84
57.128.181.14,57.128.181.14,443,2.61,GB,LHR,134.05,142.48
194.147.88.44,194.147.88.44,443,2.6,GB,LHR,144.27,156.15
132.145.29.208,132.145.29.208,443,2.54,GB,LHR,128.8,143.04
194.37.82.144,194.37.82.144,443,2.53,GB,LHR,129.85,137.22
57.128.183.108,57.128.183.108,443,2.51,GB,LHR,133.1,138.9
57.128.177.172,57.128.177.172,443,2.43,GB,LHR,133.5,153.28
18.134.196.127,18.134.196.127,443,2.42,GB,LHR,127.44,133.33
57.128.180.98,57.128.180.98,8443,2.41,GB,LHR,143.75,161.85
34.39.62.53,34.39.62.53,443,2.41,GB,LHR,159.61,166.64
57.128.177.198,57.128.177.198,8443,2.4,GB,LHR,157.26,171.3
57.128.181.221,57.128.181.221,8443,2.36,GB,LHR,152.76,163.0
57.128.181.125,57.128.181.125,8443,2.33,GB,LHR,133.87,139.15
57.128.177.172,57.128.177.172,8443,2.29,GB,LHR,133.73,151.14
57.128.183.133,57.128.183.133,443,2.29,GB,LHR,132.92,145.66
51.6.54.142,51.6.54.142,443,2.26,GB,LHR,136.35,178.9
57.128.182.21,57.128.182.21,8443,2.2,GB,LHR,137.14,147.81
103.13.208.242,103.13.208.242,443,2.16,GB,LHR,131.82,141.38
83.147.192.82,2a0b:4140:a00d::2,443,2.16,GB,MXP,176.12,245.32
172.99.190.49,172.99.190.49,443,2.15,GB,LHR,134.39,149.73
57.128.181.125,57.128.181.125,443,2.15,GB,LHR,133.05,139.35
57.128.179.45,57.128.179.45,443,2.15,GB,LHR,133.09,139.16
57.128.183.3,57.128.183.3,443,2.13,GB,LHR,135.52,137.68
57.128.182.27,57.128.182.27,8443,2.12,GB,LHR,141.26,140.17
78.129.253.115,78.129.253.115,443,2.09,GB,LHR,126.5,132.77
194.147.88.46,194.147.88.46,443,2.09,GB,LHR,138.59,142.03
83.147.192.82,2a0b:4140:a00d::2,8443,2.09,GB,CDG,170.38,239.77
57.128.179.189,57.128.179.189,443,2.07,GB,LHR,133.98,141.44
87.106.65.110,87.106.65.110,443,2.06,GB,LHR,141.6,158.18
57.128.178.122,57.128.178.122,8443,2.0,GB,LHR,132.67,142.0
57.128.179.254,57.128.179.254,8443,1.99,GB,LHR,136.62,154.01
57.128.179.254,57.128.179.254,443,1.99,GB,LHR,135.6,150.88
57.128.178.63,57.128.178.63,443,1.98,GB,LHR,146.11,153.21
57.128.183.214,57.128.183.214,443,1.98,GB,LHR,133.76,142.89
57.128.183.133,57.128.183.133,8443,1.98,GB,LHR,134.49,142.66
57.128.177.22,57.128.177.22,8443,1.96,GB,LHR,146.74,153.86
57.128.176.37,57.128.176.37,8443,1.96,GB,LHR,148.88,157.81
57.128.183.90,57.128.183.90,443,1.94,GB,LHR,147.31,165.51
57.128.177.22,57.128.177.22,443,1.91,GB,LHR,140.69,140.87
57.128.177.198,57.128.177.198,443,1.88,GB,LHR,140.62,151.8
57.128.178.63,57.128.178.63,8443,1.87,GB,LHR,133.54,139.27
57.128.183.35,57.128.183.35,443,1.87,GB,LHR,135.19,144.38
57.128.183.214,57.128.183.214,8443,1.86,GB,LHR,132.71,145.06
57.128.183.59,57.128.183.59,8443,1.84,GB,LHR,135.08,155.67
57.128.182.27,57.128.182.27,443,1.76,GB,LHR,145.07,151.1
57.128.183.59,57.128.183.59,443,1.75,GB,LHR,135.24,153.75
57.128.183.35,57.128.183.35,8443,1.73,GB,LHR,135.23,146.02
57.128.183.90,57.128.183.90,8443,1.53,GB,LHR,134.38,141.19
43.168.16.112,43.175.120.120,443,3.34,HK,HKG,201.08,216.03
43.159.1.170,43.134.219.131,443,2.56,HK,HKG,190.65,203.02
42.200.173.201,42.200.173.201,443,1.86,HK,HKG,191.0,202.86
43.132.234.175,43.132.234.175,443,1.86,HK,HKG,190.06,200.77
42.200.176.168,42.200.176.168,443,1.68,HK,HKG,187.96,224.94
42.200.231.108,42.200.231.108,443,1.64,HK,HKG,189.54,197.25
124.244.55.157,124.244.55.157,443,1.59,HK,HKG,188.29,203.6
209.33.160.61,209.33.160.61,443,1.59,HK,HKG,198.43,212.59
156.224.76.205,156.224.76.205,443,1.56,HK,HKG,197.84,199.31
156.224.76.187,156.224.76.187,443,1.56,HK,HKG,202.13,199.77
43.132.231.159,43.132.231.159,443,1.5,HK,HKG,197.9,196.55
43.230.9.121,43.230.9.121,443,1.47,HK,HKG,196.51,226.71
47.239.4.246,47.239.4.246,443,1.45,HK,HKG,188.87,198.17
91.149.237.61,2605:e440:15::1a1,443,1.44,HK,HKG,204.17,252.98
47.239.4.246,47.239.4.246,2053,1.43,HK,HKG,188.2,201.44
47.239.4.246,47.239.4.246,8443,1.42,HK,HKG,192.04,204.92
103.219.194.43,103.219.194.43,443,1.42,HK,HKG,194.16,198.21
45.202.248.172,45.202.248.172,443,1.42,HK,HKG,207.12,199.6
139.28.169.72,139.28.169.72,443,1.37,HK,HKG,223.2,221.35
138.124.111.115,2a13:7e40:4:406f::1,443,1.37,HK,HKG,211.66,213.14
176.98.181.167,176.98.181.167,443,1.36,HK,HKG,210.43,219.7
103.101.0.73,103.101.0.73,443,1.36,HK,HKG,208.66,206.59
154.84.154.37,154.84.154.37,443,1.35,HK,HKG,207.69,221.83
103.192.179.132,103.192.179.132,443,1.28,HK,HKG,202.89,202.44
185.206.171.53,185.206.171.53,443,1.27,HK,HKG,211.81,219.7
47.79.78.40,47.79.78.40,443,1.16,HK,HKG,194.9,226.9
5.253.28.107,5.253.28.107,443,1.36,IN,BOM,284.81,281.34
5.253.28.108,5.253.28.108,443,1.28,IN,BOM,233.0,255.68
5.253.29.83,5.253.29.83,443,1.25,IN,BOM,242.11,264.54
5.253.30.225,5.253.30.225,443,1.25,IN,BOM,239.46,305.63
216.10.243.159,43.225.54.7,443,1.2,IN,BOM,247.03,243.83
5.253.28.115,5.253.28.115,443,1.16,IN,BOM,231.11,261.49
5.253.28.113,5.253.28.113,443,1.16,IN,BOM,230.63,271.16
172.236.187.52,172.236.187.52,443,1.11,IN,BOM,237.73,234.04
5.253.28.109,5.253.28.109,443,1.06,IN,BOM,237.7,265.4
43.170.8.95,43.175.17.167,443,7.31,JP,NRT,142.54,146.57
151.145.78.30,151.145.78.30,443,4.07,JP,NRT,147.54,151.16
43.133.166.143,43.133.166.143,443,3.93,JP,NRT,146.13,154.1
34.104.218.57,34.104.218.57,443,3.89,JP,NRT,147.06,163.67
141.147.182.70,141.147.182.70,443,3.84,JP,NRT,142.74,157.28
153.121.45.101,153.121.45.101,443,3.82,JP,NRT,144.71,171.99
54.248.227.16,54.248.227.16,443,3.81,JP,NRT,155.5,164.22
167.179.117.9,167.179.117.9,443,3.75,JP,NRT,142.42,148.38
64.176.62.94,64.176.62.94,443,3.75,JP,KIX,154.41,167.13
141.147.185.63,141.147.185.63,443,3.7,JP,NRT,143.68,149.75
138.2.21.53,138.2.21.53,443,3.64,JP,NRT,143.67,149.28
165.154.241.192,165.154.241.192,443,3.63,JP,NRT,143.05,147.4
45.8.173.215,45.8.173.215,443,3.62,JP,NRT,144.38,151.6
38.47.96.61,38.47.96.61,443,3.59,JP,KIX,155.97,157.01
216.195.204.29,216.195.204.29,443,3.46,JP,NRT,145.01,153.97
160.16.103.102,160.16.103.102,443,3.45,JP,NRT,144.63,152.4
161.33.135.154,161.33.135.154,443,3.39,JP,NRT,142.56,148.38
139.162.96.110,139.162.96.110,443,3.34,JP,NRT,144.03,152.13
138.2.52.152,138.2.52.152,443,3.3,JP,KIX,160.42,152.88
160.16.209.61,160.16.209.61,443,3.3,JP,NRT,143.44,154.81
54.95.106.234,54.95.106.234,443,3.3,JP,NRT,149.74,149.73
155.248.181.189,155.248.181.189,443,3.27,JP,NRT,149.15,157.64
168.138.46.67,168.138.46.67,443,3.25,JP,KIX,183.65,174.43
160.16.62.225,160.16.62.225,443,3.19,JP,NRT,144.83,146.29
160.16.123.110,160.16.123.110,443,3.19,JP,NRT,147.34,148.68
43.163.199.247,43.163.199.247,443,3.19,JP,NRT,143.24,152.85
176.97.73.228,176.97.73.228,443,3.09,JP,NRT,146.76,151.51
45.8.173.215,45.8.173.215,8443,3.09,JP,NRT,146.3,157.41
167.179.75.237,167.179.75.237,443,3.08,JP,NRT,143.68,150.45
103.245.235.254,103.245.235.254,443,3.05,JP,NRT,155.39,165.42
64.176.41.21,64.176.41.21,443,2.94,JP,KIX,149.54,154.29
140.83.55.25,140.83.55.25,443,2.93,JP,KIX,157.06,167.06
34.84.135.67,34.84.135.67,443,2.88,JP,NRT,146.68,154.53
161.33.131.94,161.33.131.94,443,2.84,JP,NRT,143.19,151.69
172.237.27.202,172.237.27.202,443,2.75,JP,NRT,144.62,153.55
150.251.158.69,150.251.158.69,443,2.48,JP,NRT,176.71,178.67
8.219.155.125,8.221.173.58,443,2.46,JP,NRT,227.03,322.69
141.147.162.33,141.147.162.33,443,2.46,JP,NRT,144.78,148.94
8.222.185.236,8.221.173.58,443,2.43,JP,NRT,237.78,312.51
138.2.31.37,138.2.31.37,443,2.29,JP,NRT,147.77,154.7
5.226.49.3,5.226.49.3,443,2.27,JP,NRT,166.56,157.93
172.238.19.67,172.238.19.67,443,2.25,JP,NRT,146.8,154.5
15.168.27.230,15.168.27.230,443,2.07,JP,KIX,150.41,157.54
160.16.109.149,160.16.109.149,443,2.03,JP,NRT,152.08,153.04
61.124.1.97,61.124.1.97,443,1.43,JP,NRT,152.47,159.38
8.222.193.153,8.221.172.7,443,1.39,JP,NRT,218.3,301.49
149.28.21.106,149.28.21.106,443,1.24,JP,NRT,144.77,155.42
207.148.99.230,207.148.99.230,443,1.12,JP,NRT,142.85,157.42
109.61.109.143,109.61.109.143,443,1.07,JP,NRT,227.67,236.12
131.186.16.166,131.186.16.166,443,4.47,KR,ICN,166.46,181.53
131.186.26.94,131.186.26.94,443,2.65,KR,ICN,166.31,169.85
141.164.37.50,141.164.37.50,443,2.55,KR,ICN,163.54,170.25
64.110.70.64,2603:c022:8001:6c11:bf03:707a:ed83:fcb6,443,2.51,KR,ICN,164.71,168.45
43.164.134.99,43.164.134.99,443,2.4,KR,ICN,163.71,170.78
193.122.119.241,193.122.119.241,443,2.38,KR,ICN,166.71,171.16
130.94.29.155,130.94.29.155,443,2.35,KR,ICN,167.66,260.48
110.10.178.240,110.10.178.240,443,2.32,KR,ICN,165.0,183.11
134.185.127.173,134.185.127.173,443,2.14,KR,ICN,179.91,223.7
146.56.119.205,146.56.119.205,443,2.13,KR,ICN,176.44,185.36
146.56.188.74,146.56.188.74,443,2.11,KR,ICN,162.96,169.49
152.67.208.47,152.67.208.47,443,2.1,KR,ICN,182.41,224.28
144.24.73.232,144.24.73.232,443,2.02,KR,ICN,175.96,185.88
119.205.235.58,119.205.235.58,443,1.97,KR,ICN,223.73,212.77
64.176.230.12,64.176.230.12,443,1.82,KR,ICN,163.26,172.12
168.110.107.218,168.110.107.218,443,1.49,KR,ICN,209.46,223.42
3.35.51.12,3.35.51.12,443,1.44,KR,ICN,174.95,184.83
152.67.210.234,152.67.210.234,443,1.42,KR,ICN,214.87,257.34
146.56.180.103,146.56.180.103,443,1.42,KR,ICN,170.35,175.13
134.185.99.52,134.185.99.52,443,1.4,KR,ICN,205.23,212.88
152.69.229.110,152.69.229.110,443,1.38,KR,ICN,212.04,220.44
47.80.57.116,47.80.57.116,443,1.31,KR,ICN,163.83,186.14
45.93.31.34,45.93.31.34,443,1.31,KR,ICN,170.92,178.92
85.159.228.232,85.159.228.232,443,3.46,LV,WAW,164.14,216.58
94.158.219.126,94.158.219.126,443,3.29,LV,VNO,158.51,173.28
193.68.89.45,193.68.89.45,443,3.26,LV,ARN,156.03,167.88
31.57.105.140,31.57.105.140,443,3.2,LV,ARN,196.65,221.28
31.56.117.15,31.56.117.15,443,3.19,LV,RIX,154.2,160.31
31.57.106.178,31.57.106.178,443,3.18,LV,RIX,162.53,161.38
31.56.113.20,31.56.113.20,443,3.14,LV,RIX,160.17,164.22
31.57.27.38,31.57.27.38,443,3.14,LV,RIX,155.11,168.08
46.8.228.165,46.8.228.165,443,3.07,LV,RIX,155.8,168.93
31.57.27.38,31.57.27.38,8443,3.07,LV,ARN,154.56,183.3
31.57.105.139,31.57.105.139,443,3.05,LV,ARN,155.87,183.51
31.56.113.127,31.56.113.127,443,3.05,LV,RIX,156.1,180.75
31.56.206.215,31.56.206.215,443,3.04,LV,RIX,156.47,167.74
31.57.62.124,31.57.62.124,443,2.94,LV,ARN,154.43,179.76
31.57.106.126,31.57.106.126,443,2.93,LV,ARN,173.79,199.73
217.60.60.38,217.60.60.38,443,2.93,LV,ARN,166.73,187.81
193.68.89.45,193.68.89.45,8443,2.93,LV,ARN,155.3,168.36
46.8.64.53,46.8.64.53,443,2.92,LV,ARN,180.38,179.99
194.1.134.124,194.1.134.124,443,2.86,LV,WAW,155.9,195.29
31.57.26.96,31.57.26.96,443,2.81,LV,ARN,155.03,181.3
94.158.219.94,94.158.219.94,443,2.79,LV,WAW,155.59,183.68
31.57.106.35,31.57.106.35,443,2.79,LV,RIX,155.95,162.35
193.68.89.220,193.68.89.220,443,2.78,LV,ARN,155.82,163.8
31.57.28.22,31.57.28.22,443,2.78,LV,ARN,190.68,192.11
217.60.60.49,217.60.60.49,443,2.74,LV,ARN,160.09,192.41
31.59.41.193,31.59.41.193,443,2.67,LV,ARN,155.98,180.56
46.8.228.102,46.8.228.102,443,2.65,LV,ARN,158.89,191.9
193.164.155.76,193.164.155.76,443,2.65,LV,ARN,154.61,179.0
31.57.105.27,31.57.105.27,443,2.64,LV,ARN,163.96,199.0
31.59.41.159,31.59.41.159,443,2.64,LV,ARN,161.68,179.8
46.8.236.208,46.8.236.208,443,2.63,LV,ARN,159.83,189.88
45.43.76.227,45.43.76.227,443,2.6,LV,WAW,154.56,183.15
185.135.86.41,185.135.86.41,443,2.58,LV,ARN,172.09,196.02
31.59.106.71,31.59.106.71,443,2.54,LV,RIX,155.28,171.34
104.252.127.58,104.252.127.58,443,2.52,LV,RIX,156.69,165.48
94.183.189.154,94.183.189.154,443,2.51,LV,RIX,157.35,173.59
2.26.88.78,2.26.88.78,443,2.5,LV,MXP,165.84,247.77
193.124.22.212,193.124.22.212,443,2.48,LV,ARN,170.85,205.64
31.57.105.53,31.57.105.53,443,2.47,LV,RIX,158.96,157.58
169.40.2.78,169.40.2.78,443,2.44,LV,WAW,167.42,196.57
185.92.183.217,185.92.183.217,443,2.44,LV,ARN,155.19,183.12
217.145.79.186,217.145.79.186,2053,2.39,LV,ARN,247.27,182.01
217.60.3.198,217.60.3.198,443,2.37,LV,RIX,158.44,163.27
217.60.0.194,217.60.0.194,443,2.37,LV,ARN,153.87,180.52
46.8.64.232,46.8.64.232,443,2.35,LV,RIX,157.78,169.12
31.57.105.164,31.57.105.164,443,2.34,LV,ARN,173.3,187.33
62.60.234.201,62.60.234.201,2053,2.34,LV,WAW,158.03,182.19
188.253.22.211,188.253.22.211,443,2.32,LV,VNO,156.47,181.6
46.8.237.3,46.8.237.3,443,2.32,LV,RIX,155.43,164.78
188.253.23.155,188.253.23.155,443,2.32,LV,VNO,169.16,215.15
31.58.137.94,31.58.137.94,443,2.29,LV,RIX,158.49,174.43
91.204.75.253,91.204.75.253,443,2.27,LV,ARN,157.68,226.42
185.242.107.169,185.242.107.169,443,2.26,LV,ARN,156.82,183.66
193.68.89.220,193.68.89.220,8443,2.26,LV,ARN,158.2,162.18
94.158.219.248,94.158.219.248,443,2.25,LV,VNO,189.38,237.88
193.164.155.223,193.164.155.223,443,2.25,LV,ARN,166.53,169.76
37.128.204.20,37.128.204.20,443,2.25,LV,VNO,158.19,173.82
62.60.234.201,62.60.234.201,443,2.25,LV,WAW,156.47,185.88
188.253.23.41,188.253.23.41,443,2.24,LV,VNO,153.99,174.16
94.183.190.163,94.183.190.163,443,2.23,LV,RIX,160.11,183.85
92.118.170.191,92.118.170.191,443,2.22,LV,RIX,156.6,183.2
85.31.102.163,85.31.102.163,443,2.15,LV,RIX,167.58,161.12
